model_price,real_prices
0.26408965686195807,0.2619
0.2545817889633989,0.2539
0.26734551193345585,0.2641
0.2573475947167456,0.255
0.25379281828027844,0.2511
0.2544268696992064,0.2543
0.23287562111444654,0.2311
0.22647898960296203,0.2241
0.22955013371221064,0.2282
0.24200406317625484,0.2393
0.2397775112431305,0.2369
0.23759011725610343,0.235
0.20000809737939945,0.1989
0.20081050064860492,0.1978
0.20504920701693155,0.2046
0.20356372043848808,0.2017
0.21491002454429223,0.2131
0.2071517620743975,0.2069
0.24130512492713133,0.239
0.2515214760206553,0.2481
0.2606886370811047,0.258
0.2523863690949406,0.2499
0.26159996654655676,0.2602
0.26015722417596887,0.2599
0.27454550160767743,0.2736
0.2626354329528753,0.2619
0.24219690287352139,0.2402
0.24003590936405628,0.2383
0.19900130486366296,0.1969
0.18848456055099888,0.186
0.19273694881850184,0.1927
0.1997862588518907,0.1976
0.21297796304438082,0.2115
0.24724224729508393,0.2456
0.247907963547491,0.2456
0.24595828676041018,0.2456
0.23415566076961636,0.2322
0.22395167137418878,0.2232
0.23139319447685366,0.23
0.22511621300954296,0.2243
0.22253678419803646,0.2217
0.22345563101779448,0.2213
0.2049540402757827,0.204
0.19557517764173002,0.195
0.19982575562286142,0.1989
0.2112916954782091,0.2085
0.20822242790453047,0.2063
0.20682313228078192,0.2043
0.17457141212161262,0.1719
0.17298162168437642,0.1696
0.17658030116843543,0.176
0.17439381580995775,0.1739
0.18675435129257983,0.1867
0.18270409517638153,0.1793
0.21148674650233815,0.2094
0.21827109450500468,0.216
0.22766698166376678,0.2255
0.21923906936185725,0.2184
0.22944439487713028,0.2267
0.2288329570756885,0.2255
0.24006370025650928,0.239
0.23031814125366815,0.23
0.2125732025315014,0.2092
0.20994400376378713,0.207
0.17579316538599127,0.1731
0.1656425099097931,0.1636
0.1719585361759398,0.1686
0.1747949142933489,0.1742
0.18874278715113396,0.1876
0.21911152768971903,0.2184
0.21911783976942484,0.2184
0.22012925202448294,0.2184
0.20701335437718577,0.2065
0.1990297058066517,0.1964
0.20406219551569704,0.2031
0.1993806235268194,0.1963
0.1972456236312466,0.1944
0.1969419085742396,0.1948
0.18013276205091572,0.1782
0.17428743194731508,0.1709
0.17434526046651255,0.1722
0.17998194130827813,0.1796
0.17913857269168224,0.1776
0.17777489239551755,0.1766
0.14978314593107095,0.1477
0.14524153187224048,0.1447
0.15265247666765022,0.1504
0.1486810224960045,0.1485
0.16055446815896743,0.16
0.15707112910702473,0.1555
0.17968452302543,0.1796
0.18560076049646163,0.185
0.19449217608068456,0.1928
0.19130681950933281,0.1884
0.19504500947408632,0.1941
0.20032362068423054,0.1985
0.20732875772523793,0.2064
0.20277578485615355,0.2005
0.18237184729077124,0.1801
0.18036840294170534,0.1792
0.15258042812326403,0.1512
0.14594298054066523,0.1432
0.14676630008185498,0.1463
0.1527260431081134,0.1516
0.16603488964648241,0.1647
0.1962533453792148,0.1942
0.1951828783228271,0.1942
0.19758927873630328,0.1942
0.17975419667400758,0.1792
0.17589032364741755,0.173
0.17953507538360158,0.1765
0.17428453760610493,0.172
0.17009101696003176,0.1692
0.17113760962637514,0.169
0.15714215288557637,0.1561
0.14993324631859106,0.1473
0.15076216155258268,0.1482
0.15423074144042065,0.1539
0.1535279349639059,0.153
0.15469286535182455,0.1523
