model_price,real_prices
0.286972290321711,0.2619
0.25085734867147236,0.2539
0.34561983358789344,0.2641
0.3048622540693132,0.255
0.0029022111671721963,0.2511
0.3133317538211709,0.2543
-0.03006367439083283,0.2311
0.37033891565600524,0.2241
0.2623843919160612,0.2282
0.260955811082723,0.2393
0.019185166171030013,0.2369
-0.012093713045860151,0.235
0.5150909472245,0.1989
0.4007416309219664,0.1978
0.2834988130114421,0.2046
0.07780588999919837,0.2017
0.371723396187124,0.2131
0.2698174227693489,0.2069
0.1514099974144178,0.239
0.0273264320965653,0.2481
0.3146924957871132,0.258
0.362538584071818,0.2499
0.4024010378639408,0.2602
0.1658994417965555,0.2599
0.0531959201165699,0.2736
0.07765307291722374,0.2619
0.3721151204660192,0.2402
0.4072599552309106,0.2383
0.44718535593234243,0.1969
0.02609978041096624,0.186
0.31825883609434275,0.1927
0.10745988100112079,0.1976
0.3900105037788794,0.2115
0.3281449699068651,0.2456
0.4079528784652175,0.2456
0.3098216040903892,0.2456
0.3063250045786186,0.2322
0.22568799268819725,0.2232
0.2861164916673341,0.23
0.14232412862069285,0.2243
0.2933496421381031,0.2217
0.25005538427593244,0.2213
0.223912116411869,0.204
0.3194005885293322,0.195
0.17291325396668,0.1989
0.3231431366610976,0.2085
0.2778409816054732,0.2063
0.06138160213429391,0.2043
0.04543812451907194,0.1719
0.4424357429006696,0.1696
0.3371076137389996,0.176
0.33340584559307623,0.1739
0.3554227841981007,0.1867
0.149453769866401,0.1793
0.31567154330894287,0.2094
0.2818319879256116,0.216
0.12857314908688944,0.2255
0.1044360748279428,0.2184
0.3320337256616572,0.2267
0.04331227799084742,0.2255
0.42286732340448224,0.239
0.2157626940692385,0.23
0.12171811943472989,0.2092
-0.0016681180722667721,0.207
0.19253347128965975,0.1731
0.12260924999609123,0.1636
0.17264039158755554,0.1686
0.21038187495754393,0.1742
0.3483573982163038,0.1876
0.34369518927295223,0.2184
0.31264359090236316,0.2184
0.22554289365749625,0.2184
0.41382369300575284,0.2065
0.3505599688015467,0.1964
0.1849571095301417,0.2031
0.2858562741418589,0.1963
0.43236962533340567,0.1944
0.38472482427525767,0.1948
0.26801812597450986,0.1782
0.10264172448734984,0.1709
0.18789834547068252,0.1722
0.33231033287354994,0.1796
0.11834364956497499,0.1776
0.2080995689888448,0.1766
0.14325818231250417,0.1477
0.17698768131005788,0.1447
0.05075614505115765,0.1504
0.26746756176387393,0.1485
0.17576150572420682,0.16
0.2767857972783396,0.1555
0.3100387920293292,0.1796
0.2985705156640769,0.185
0.21240017541462974,0.1928
0.02595056967341314,0.1884
0.23395829803902282,0.1941
0.309361855209267,0.1985
0.018831355670736894,0.2064
0.21385024250035725,0.2005
0.04405650684120165,0.1801
0.16837544693076345,0.1792
0.23584147210128184,0.1512
0.2149455251277333,0.1432
0.12313813635223764,0.1463
0.3242307946764909,0.1516
0.33347899039513745,0.1647
0.19658420675666155,0.1942
0.4777800577425,0.1942
0.1720514239672583,0.1942
0.32735801978438395,0.1792
0.2588972128921572,0.173
0.49055403149946214,0.1765
0.15951603238524,0.172
0.3048670726732023,0.1692
0.1983001676224412,0.169
0.10300189254613709,0.1561
0.15990725271100906,0.1473
0.18541267441778386,0.1482
0.11108369847707263,0.1539
0.09017350523436385,0.153
0.043100401615448584,0.1523
