model_price,real_prices
0.2731527052687393,0.2619
0.2651521089371222,0.2539
0.27501649267379996,0.2641
0.2660085411963505,0.255
0.2608840659989767,0.2511
0.2647188238361177,0.2543
0.24117417359028775,0.2311
0.23258152251209416,0.2241
0.23856482887080382,0.2282
0.24941634185119002,0.2393
0.24593923209457047,0.2369
0.24394436213013346,0.235
0.20713589918051784,0.1989
0.20546576783230125,0.1978
0.21256916344331275,0.2046
0.2106524586602162,0.2017
0.22255590502164288,0.2131
0.21529509963265536,0.2069
0.24861444187777954,0.239
0.2581439224358391,0.2481
0.2675878999770294,0.258
0.2594542840503313,0.2499
0.270419956604364,0.2602
0.271211710942004,0.2599
0.2845470815265803,0.2736
0.27266180433166315,0.2619
0.24939447194834655,0.2402
0.24816414253751168,0.2383
0.2047956306810375,0.1969
0.1937328245727198,0.186
0.19997123489786248,0.1927
0.20562731558997643,0.1976
0.22056543762039343,0.2115
0.25615164012237046,0.2456
0.25601616138691335,0.2456
0.25597123276874706,0.2456
0.24259564094229785,0.2322
0.23206322145032607,0.2232
0.24019049605044415,0.23
0.234575427494008,0.2243
0.23055355476697584,0.2217
0.230523956344122,0.2213
0.21310941718430504,0.204
0.20300389919607115,0.195
0.20778155943119864,0.1989
0.21645416604300605,0.2085
0.21583788011063948,0.2063
0.21272792235442228,0.2043
0.17889603883645572,0.1719
0.1775947947231184,0.1696
0.18302662382178375,0.176
0.18082435391070828,0.1739
0.19383203106564145,0.1867
0.18710780289652768,0.1793
0.2184742206723067,0.2094
0.22455217396142058,0.216
0.23505953078422487,0.2255
0.22731833610237823,0.2184
0.2352882833405884,0.2267
0.2351703112685481,0.2255
0.24889684918470534,0.239
0.2396266935481741,0.23
0.21788588270676157,0.2092
0.21507123148455368,0.207
0.1810105901421063,0.1731
0.170368244751643,0.1636
0.17591616514127958,0.1686
0.18149819910665543,0.1742
0.19476278371827874,0.1876
0.22832488942916718,0.2184
0.22717673263255087,0.2184
0.22845392025943223,0.2184
0.21612354007435547,0.2065
0.20504810212666938,0.1964
0.21170339900500745,0.2031
0.20375226331613752,0.1963
0.20232145490815648,0.1944
0.2023221260508439,0.1948
0.18577785690527177,0.1782
0.17915950903713926,0.1709
0.17874539228011088,0.1722
0.18808576250240622,0.1796
0.18500564172536504,0.1776
0.18449593365612407,0.1766
0.15505172683119475,0.1477
0.15114470812077785,0.1447
0.15768257259057716,0.1504
0.1552015898141134,0.1485
0.16751610809559284,0.16
0.16182331786688914,0.1555
0.1874291120276678,0.1796
0.19373433103715673,0.185
0.2017366224086877,0.1928
0.19614944330164438,0.1884
0.2021151244326877,0.1941
0.2070640150490326,0.1985
0.21563749765522028,0.2064
0.20961278585233578,0.2005
0.1879944210448691,0.1801
0.18710047145405476,0.1792
0.15850989467067758,0.1512
0.14967994676951762,0.1432
0.1518990482140974,0.1463
0.1574351678543324,0.1516
0.1725850488137643,0.1647
0.20166785189187791,0.1942
0.20226514369967813,0.1942
0.20228676934090162,0.1942
0.18712090044214116,0.1792
0.18067126828932667,0.173
0.18460694972157765,0.1765
0.17997879700997535,0.172
0.17705974204881078,0.1692
0.17546887273180342,0.169
0.1621103812525186,0.1561
0.15331485918856158,0.1473
0.15533009532047476,0.1482
0.1612867533067964,0.1539
0.1594099855720307,0.153
0.15936269163950406,0.1523
