model_price,real_prices
0.9631187871575356,0.2619
0.9565916186988355,0.2539
0.26045182935893535,0.2641
0.7947989184796811,0.255
0.9519996368467809,0.2511
0.6733964807748796,0.2543
0.2439180001497269,0.2311
0.9609451709449293,0.2241
0.58292370608449,0.2282
0.8235941481709481,0.2393
0.9058194991588594,0.2369
0.9507319956839085,0.235
0.06122626989632845,0.1989
0.606961949145794,0.1978
0.9581713441073896,0.2046
0.011537423312850298,0.2017
0.6367062435746194,0.2131
0.9274599447250368,0.2069
0.19710809231102466,0.239
0.9588477373003961,0.2481
0.6217214311897755,0.258
0.10044748045355081,0.2499
0.8759731683492662,0.2602
0.9082403352737428,0.2599
0.9609152379751207,0.2736
0.9587448391258718,0.2619
0.9573457456886769,0.2402
0.2473351560264826,0.2383
0.949186799478531,0.1969
0.3124504537731409,0.186
0.33074257205724716,0.1927
0.5982125593066216,0.1976
0.39396301514506343,0.2115
0.9445906810164453,0.2456
0.8980420977711678,0.2456
0.6522978162169457,0.2456
0.9596832176208497,0.2322
0.5320075520813466,0.2232
0.0025271373084513474,0.23
0.25857650869190696,0.2243
0.10438956208899618,0.2217
0.0785960246860981,0.2213
0.8625906603693964,0.204
0.1470292427584529,0.195
0.8664901622116566,0.1989
0.9278397085070611,0.2085
0.002545463218027726,0.2063
0.1528295456364751,0.2043
0.952987482303381,0.1719
0.0692244628444314,0.1696
0.9570203898191453,0.176
0.9626978296339513,0.1739
0.9224712504804136,0.1867
0.9264827855110169,0.1793
0.9494945747554303,0.2094
0.9118198818206789,0.216
0.48274747841358195,0.2255
0.8053589944541455,0.2184
0.9430118174016477,0.2267
0.20582140171825886,0.2255
0.95692266240716,0.239
0.3255052215874195,0.23
0.1858287632673979,0.2092
0.956050412219763,0.207
0.3378409948706627,0.1731
0.6404956656277181,0.1636
0.6837323754668236,0.1686
0.016393092509545387,0.1742
0.1080500023432076,0.1876
0.056052692164480694,0.2184
0.07320454240292311,0.2184
0.013856911584269258,0.2184
0.20054601741731168,0.2065
0.9505579133450986,0.1964
0.058151195869594816,0.2031
0.0489962997507304,0.1963
0.046589615007489926,0.1944
0.13404567347168922,0.1948
0.6516277428448202,0.1782
0.9320897880494596,0.1709
0.1222404778778553,0.1722
0.9582307504236699,0.1796
0.7507561442136765,0.1776
0.9570535976052286,0.1766
0.9088356049478056,0.1477
0.7176110392630102,0.1447
0.7570059299886228,0.1504
0.5277246669232846,0.1485
0.038421630735322836,0.16
0.13430142513215543,0.1555
0.06343264863491058,0.1796
0.9489178623735905,0.185
0.8482171470224859,0.1928
0.15994546286314726,0.1884
0.15247494623214006,0.1941
0.023853172459080817,0.1985
0.35485317706763747,0.2064
0.9307533182919027,0.2005
0.16031363551914693,0.1801
0.29055376819670203,0.1792
0.8660328369915486,0.1512
0.9290647770583631,0.1432
0.3055190178632736,0.1463
0.7299488808512689,0.1516
0.007989508187584581,0.1647
0.002783793627936393,0.1942
0.8749732577800752,0.1942
0.9383465256273748,0.1942
0.033667024810612206,0.1792
0.7071401876688005,0.173
0.6684420284688474,0.1765
0.007257819703826681,0.172
0.8852239497959615,0.1692
0.891610243701935,0.169
0.22242212048619986,0.1561
0.1548041449442506,0.1473
0.33169482543170453,0.1482
0.36483473089337354,0.1539
0.18875067499876022,0.153
0.7494660389602186,0.1523
