contractType,dayToExpire,strikePrice,spotPrice,RFR,settlePrice,,dayToExpire
0,20,2.749,2.694,0.024654,0.0239,,0.078431373
0,19,2.749,2.652,0.024654,0.0133,,0.074509804
0,17,2.749,2.652,0.024654,0.0131,,0.066666667
0,16,2.749,2.663,0.024654,0.0145,,0.062745098
0,15,2.749,2.688,0.024654,0.0185,,0.058823529
0,14,2.749,2.672,0.024654,0.0141,,0.054901961
0,13,2.749,2.675,0.024654,0.0149,,0.050980392
0,12,2.749,2.678,0.024654,0.0146,,0.047058824
0,8,2.749,2.612,0.024654,0.0054,,0.031372549
0,7,2.749,2.61,0.024654,0.0025,,0.02745098
0,6,2.749,2.592,0.024654,0.001,,0.023529412
0,5,2.749,2.598,0.024654,6.00E-04,,0.019607843
0,2,2.749,2.548,0.024654,3.00E-04,,0.007843137
0,1,2.749,2.52,0.024654,2.00E-04,,0.003921569
0,72,2.798,2.655,0.024654,0.073,,0.282352941
0,71,2.798,2.626,0.024654,0.062,,0.278431373
0,70,2.798,2.643,0.024654,0.0636,,0.274509804
0,69,2.798,2.676,0.024654,0.0693,,0.270588235
0,68,2.798,2.637,0.024654,0.0523,,0.266666667
0,64,2.798,2.722,0.024654,0.0788,,0.250980392
0,60,2.798,2.642,0.024654,0.053,,0.235294118
0,59,2.798,2.642,0.024654,0.053,,0.231372549
0,55,2.798,2.654,0.024654,0.0561,,0.215686275
0,54,2.798,2.634,0.024654,0.0501,,0.211764706
0,51,2.798,2.674,0.024654,0.0588,,0.2
0,50,2.798,2.714,0.024654,0.0659,,0.196078431
0,49,2.798,2.711,0.024654,0.0601,,0.192156863
0,48,2.798,2.723,0.024654,0.0608,,0.188235294
0,47,2.798,2.716,0.024654,0.0551,,0.184313725
0,45,2.798,2.745,0.024654,0.0568,,0.176470588
0,37,2.798,2.736,0.024654,0.0399,,0.145098039
0,36,2.798,2.717,0.024654,0.0313,,0.141176471
0,34,2.798,2.655,0.024654,0.0153,,0.133333333
0,30,2.798,2.667,0.024654,0.0162,,0.117647059
